England,London,Northwest,Southeast,Rest
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,1,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
2,0,0,1,1
5,3,0,1,1
4,0,0,0,4
7,2,0,2,3
12,4,1,2,5
5,1,0,2,2
21,4,7,1,9
39,12,6,1,20
53,6,7,9,31
49,18,2,7,22
47,14,10,4,19
73,23,2,16,32
47,14,6,4,23
50,22,5,10,13
125,53,7,24,41
223,91,15,34,83
358,183,17,50,108
421,165,40,85,131
393,136,41,53,163
317,149,25,41,102
397,165,23,53,156
546,234,56,78,178
679,310,55,89,225
909,356,84,122,347
930,333,98,126,373
1080,426,82,126,446
1036,351,114,129,442
1210,437,117,170,486
2018,689,176,281,872
2020,636,255,235,894
2260,757,255,305,943
2608,762,356,320,1170
2660,820,332,332,1176
2374,577,322,337,1138
2441,595,359,295,1192
3523,867,506,477,1673
3785,932,556,470,1827
4100,979,617,547,1957
4070,1071,680,483,1836
4104,982,682,521,1919
3384,766,601,458,1559
3084,635,624,424,1401
4389,860,870,593,2066
4579,953,791,717,2118
4300,873,852,569,2006
4061,798,804,525,1934
3583,614,602,578,1789
3078,521,610,383,1564
2948,501,488,486,1473
3438,600,609,577,1652
3560,603,633,553,1771
4232,660,692,711,2169
4373,577,779,655,2362
4087,579,582,706,2220
4123,402,860,520,2341
3474,396,608,414,2056
3687,433,675,488,2091
3974,467,692,632,2183
4797,398,911,693,2795
4565,525,857,684,2499
4369,379,751,656,2583
3372,333,548,516,1975
3138,311,428,501,1898
4032,417,623,555,2437
4121,311,708,658,2444
4743,431,796,690,2826
4312,425,772,649,2466
4095,355,726,521,2493
2744,249,410,414,1671
2634,167,492,368,1607
2843,246,427,489,1681
3147,221,577,473,1876
3269,267,584,445,1973
3204,272,509,418,2005
2620,207,483,354,1576
1793,127,344,248,1074
2008,125,345,310,1228
3070,159,529,483,1899
2927,195,549,410,1773
2880,204,525,483,1668
2208,157,425,295,1331
2131,131,391,262,1347
1770,73,407,192,1098
1589,79,303,223,984
2216,111,411,362,1332
2583,131,581,385,1486
2354,144,499,344,1367
2275,158,426,303,1388
1801,85,376,246,1094
1300,65,288,120,827
1198,51,262,150,735
1381,58,268,187,868
1465,66,310,182,907
1612,83,294,203,1032
1559,73,325,201,960
1360,57,303,163,837
992,38,216,132,606
978,38,234,134,572
1305,49,261,184,811
1347,47,286,221,793
1235,79,256,137,763
1139,57,237,159,686
1016,47,203,141,625
718,46,132,85,455
667,45,129,60,433
991,56,165,121,649
1060,71,218,113,658
1086,53,223,126,684
918,47,175,93,603
938,53,170,85,630
790,39,128,66,557
746,31,148,72,495
939,41,165,99,634
994,47,211,96,640
912,43,183,82,604
944,46,178,75,645
812,37,167,78,530
626,28,118,65,415
552,27,100,67,358
812,51,158,76,527
729,49,127,60,493
726,46,159,44,477
636,57,125,65,389
642,47,105,64,426
499,32,93,53,321
409,22,95,44,248
663,56,123,79,405
568,51,103,56,358
605,43,113,68,381
