Num Days Ramping Down Social Distancing,Log likelihood,dmax,inidist,R0,CV,lag
120,1.81E+06,0.5284,42.0685,3.1591,1.9236,29
240,1.81E+06,0.5848,44.185,3.0917,1.5019,29
360,1.81E+06,0.6109,45.0929,3.056,1.2502,29
480,1.81E+06,0.6263,45.594,3.0344,1.0696,29
600,1.80E+06,0.6368,45.9632,3.0176,0.9227,29
720,1.80E+06,0.6437,46.145,3.0099,0.8107,29
840,1.80E+06,0.6484,46.3121,3.001,0.7149,29
960,1.80E+06,0.6545,46.3029,3.0076,0.6157,29
1080,1.80E+06,0.6561,46.443,2.997,0.5532,29
1200,1.80E+06,0.6594,46.504,2.9967,0.468,29
1320,1.80E+06,0.6608,46.7419,2.9785,0.3732,29
1440,1.80E+06,0.6637,46.8731,2.9716,0.2308,29
1130,1.80E+06,0.6562,46.4237,2.9975,0.5412,29
